"pair1","pair2","dissimilarity.mean_dissimilarity","dissimilarity.mean_dissimilarityci1","dissimilarity.mean_dissimilarityci2","dissimilarity.mean_dissimilarity_direct","dissimilarity.mean_dissimilarity_directci1","dissimilarity.mean_dissimilarity_directci2","dissimilarity.standardized_mean_dissimilarity","dissimilarity.standardized_mean_dissimilarityci1","dissimilarity.standardized_mean_dissimilarityci2","dissimilarity.standardized_mean_dissimilarity_direct","dissimilarity.standardized_mean_dissimilarity_directci1","dissimilarity.standardized_mean_dissimilarity_directci2","dissimilarity.sd_dissimilarity","dissimilarity.sd_dissimilarityci1","dissimilarity.sd_dissimilarityci2","dissimilarity.sd_dissimilarity_direct","dissimilarity.sd_dissimilarity_directci1","dissimilarity.sd_dissimilarity_directci2","dissimilarity.standardized_sd_dissimilarity","dissimilarity.standardized_sd_dissimilarityci1","dissimilarity.standardized_sd_dissimilarityci2","dissimilarity.standardized_sd_dissimilarity_direct","dissimilarity.standardized_sd_dissimilarity_directci1","dissimilarity.standardized_sd_dissimilarity_directci2","dissimilarity.sparsity_dissimilarity","dissimilarity.sparsity_dissimilarityci1","dissimilarity.sparsity_dissimilarityci2","dissimilarity.standardized_sparsity_dissimilarity","dissimilarity.standardized_sparsity_dissimilarityci1","dissimilarity.standardized_sparsity_dissimilarityci2","dissimilarity.sparsity_dissimilarity_direct","dissimilarity.sparsity_dissimilarity_directci1","dissimilarity.sparsity_dissimilarity_directci2","dissimilarity.standardized_sparsity_dissimilarity_direct","dissimilarity.standardized_sparsity_dissimilarity_directci1","dissimilarity.standardized_sparsity_dissimilarity_directci2"
"AAG_Mock1","AAG_Mock2",44.6666744053164,43.5750185274888,46.4250479345207,0.833321499045929,0.666646581468838,0.833383669888182,0.102304525640692,0.099366853347312,0.106964686852887,0.00190863908721928,0.00147257175941225,0.00200299140714648,12.2180965558738,11.8741526702118,12.5170786636226,8.23085424708322,7.87592960344405,8.57960546092347,0.338676693713888,0.326455915498622,0.35423544905272,0.228153255304151,0.218174794075309,0.239461925585574,2120.44444444444,2001.55,2212.28333333333,5.99344063397889e-05,5.63642263274228e-05,6.43057239483671e-05,663.333333333333,554.111111111111,758.861111111111,1.87491304678547e-05,1.5374765376425e-05,2.14868142640674e-05
"AAG_Mock2","AAG_Mock3",41.8332612317319,40.57500453208,42.8666904309624,21.166635516754,19.9999435602499,22.5166699345424,0.0969473401868657,0.0931433634520082,0.101016290926434,0.0490530490244829,0.0463555213551567,0.0514196770278379,11.7786639353687,11.5392747713198,12.1096753129688,4.41615626539152,4.16336478846919,4.69463600801727,0.237717004356445,0.231199771898781,0.247627703620207,0.0891268690523139,0.0831767577146817,0.0955095503736241,1590.88888888889,1510.51111111111,1675.06111111111,4.5497979099122e-05,4.2328941618378e-05,4.84674114996953e-05,481.111111111111,401.294444444444,573.533333333333,1.3759341353485e-05,1.13729600696561e-05,1.65432382614051e-05
"AAG_S21","AAG_S22",43.666653909859,42.0749653823543,44.5916927910548,7.49999658101515,7.0000182834864,7.99999884696963,0.0986529652452853,0.0941609979965026,0.102549366832984,0.0169442088137556,0.0153348279926275,0.0186323435685739,11.210806695457,10.8241211790137,11.435999980528,3.69758540814842,3.53418881513603,3.88446399597679,0.354095861040069,0.340931638378594,0.371288371856286,0.116789070085213,0.109101661191488,0.124076319220417,2191.22222222222,1983.88888888889,2494.24444444444,6.10920551977019e-05,5.5092684201074e-05,6.91299498499454e-05,831.444444444444,502.138888888889,1055.35555555556,2.31809669410478e-05,1.3799133648277e-05,2.8667890422662e-05
"AAG_S22","AAG_S23",31.3332762141632,30.333370626563,32.3333288464117,-1.50001263176506,-1.83336188663365,-1.33334549317702,0.0737388257192208,0.0703068930694651,0.0768035320851209,-0.00353008632976453,-0.00430790996590742,-0.00315879423426185,13.0060334033803,12.7891468698923,13.3735716174308,2.06308584290618,1.85694951289255,2.27812741995838,0.315412103453022,0.304694474321053,0.328911277045738,0.0500323369264966,0.0453405551666063,0.0559189616253342,1462,1394.33888888889,1511.5,4.24595967314126e-05,4.01281407892844e-05,4.39585804716899e-05,-2.22222222222222,-59.9055555555556,58.5,-6.45380707271813e-08,-1.69831232788824e-06,1.66185663374484e-06
"DMSO_Mock1","DMSO_Mock2",28.5000341952084,27.7416645911235,29.4250086630212,18.6666545770187,17.9999512879891,19.5000087867452,0.0651138891165227,0.061996595396334,0.0680869440163862,0.0426476146652755,0.0401815056928781,0.0446256055141489,15.2597369968782,14.6166544199611,15.7057100736933,-11.3074859427518,-11.7668013598731,-10.780713593651,0.292579215548255,0.270760427219622,0.308415255749688,-0.216801598063588,-0.229684743686309,-0.201249420260815,1314.11111111111,1251.62222222222,1385.82222222222,3.7050871200157e-05,3.50223468677765e-05,3.98353234018314e-05,645,584.761111111111,728.027777777778,1.81855337208854e-05,1.61262699551462e-05,2.10774163257165e-05
"DMSO_Mock2","DMSO_Mock3",32.6666621072783,31.6666583046255,33.6666968222576,13.499982701085,12.9083164879094,14.2583240275481,0.0698218526847241,0.0671458474570397,0.0724538200402692,0.0288549163763954,0.0266815769653583,0.0304668553510426,9.82198964067126,9.59546922751868,10.0694560675741,1.11493620693437,0.966488300559618,1.23327181351761,0.273173361404782,0.261609059680658,0.286143522303664,0.031009080903423,0.0267004434616266,0.033651485324177,1297.44444444444,1241.69444444444,1347.57222222222,3.42226362466615e-05,3.19525782483086e-05,3.58061410036221e-05,252.777777777778,188.116666666667,315.5,6.66750856051682e-06,4.87756860515583e-06,8.56367920909731e-06
"DMSO_S21","DMSO_S22",41.999968107374,40.9083286955081,43.091640832347,-14.5000083069385,-15.3333273659822,-13.5749956114582,0.102764881120265,0.0987107570194976,0.107100691498463,-0.0354783990810643,-0.0376239498593537,-0.0330717268917647,8.88246012091112,8.71458337331344,9.12720437352744,0.365997888079426,0.288653427079352,0.478790173792422,0.21013397123621,0.20263454817918,0.220838899552784,0.00865847846647093,0.00664498500782543,0.0117999323481124,2029.44444444444,1870.28888888889,2149.44444444444,6.12789073704765e-05,5.67371349005922e-05,6.49751785333912e-05,950.111111111111,770.127777777778,1072.25555555556,2.86885265220336e-05,2.34577306955531e-05,3.20343567794647e-05
"DMSO_S22","DMSO_S23",68.499979141376,67.074977739023,70.4249998905809,53.6666312616664,52.4083203336171,55.5166730940203,0.155528153304329,0.150612093706105,0.160810266945826,0.121849264172253,0.117073602350615,0.1273840472364,9.71243224471156,9.52653434457092,9.98704542894937,2.05599341258647,1.91301367545316,2.21844482394452,0.217895032484577,0.209574458474654,0.22431347720147,0.0461254956674253,0.042143504921388,0.0499234286933496,1527.33333333333,1448.75,1587.18888888889,4.2794749502657e-05,4.03318367064507e-05,4.51146214235646e-05,589.111111111111,503.45,634.388888888889,1.65064572867079e-05,1.3879545394002e-05,1.8027912017308e-05
